HG00738	ont	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG00738_ont.cram
HG00738	pacbio	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG00738_pacbio.cram
HG01099	illumina	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG01099_illumina.cram
HG01099	ont	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG01099_ont.cram
HG01099	pacbio	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG01099_pacbio.cram
HG01167	illumina	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG01167_illumina.cram
HG01167	ont	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG01167_ont.cram
HG01167	pacbio	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG01167_pacbio.cram
HG01255	illumina	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG01255_illumina.cram
HG01255	ont	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG01255_ont.cram
HG01255	pacbio	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG01255_pacbio.cram
HG01346	illumina	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG01346_illumina.cram
HG01346	ont	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG01346_ont.cram
HG01346	pacbio	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG01346_pacbio.cram
HG01496	illumina	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG01496_illumina.cram
HG01496	ont	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG01496_ont.cram
HG01496	pacbio	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG01496_pacbio.cram
HG01786	illumina	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG01786_illumina.cram
HG01786	ont	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG01786_ont.cram
HG01786	pacbio	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG01786_pacbio.cram
HG01884	illumina	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG01884_illumina.cram
HG01884	ont	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG01884_ont.cram
HG01884	pacbio	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG01884_pacbio.cram
HG01943	illumina	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG01943_illumina.cram
HG01943	ont	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG01943_ont.cram
HG01943	pacbio	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG01943_pacbio.cram
HG01981	illumina	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG01981_illumina.cram
HG01981	ont	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG01981_ont.cram
HG01981	pacbio	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG01981_pacbio.cram
HG01993	illumina	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG01993_illumina.cram
HG01993	ont	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG01993_ont.cram
HG01993	pacbio	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG01993_pacbio.cram
HG02004	illumina	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02004_illumina.cram
HG02004	ont	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02004_ont.cram
HG02004	pacbio	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02004_pacbio.cram
HG02071	illumina	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02071_illumina.cram
HG02071	ont	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02071_ont.cram
HG02071	pacbio	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02071_pacbio.cram
HG02074	illumina	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02074_illumina.cram
HG02074	ont	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02074_ont.cram
HG02074	pacbio	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02074_pacbio.cram
HG02132	illumina	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02132_illumina.cram
HG02132	ont	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02132_ont.cram
HG02132	pacbio	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02132_pacbio.cram
HG02135	illumina	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02135_illumina.cram
HG02135	ont	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02135_ont.cram
HG02135	pacbio	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02135_pacbio.cram
HG02178	illumina	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02178_illumina.cram
HG02178	ont	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02178_ont.cram
HG02178	pacbio	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02178_pacbio.cram
HG02280	illumina	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02280_illumina.cram
HG02280	ont	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02280_ont.cram
HG02280	pacbio	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02280_pacbio.cram
HG02293	illumina	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02293_illumina.cram
HG02293	ont	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02293_ont.cram
HG02293	pacbio	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02293_pacbio.cram
HG02300	illumina	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02300_illumina.cram
HG02300	ont	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02300_ont.cram
HG02300	pacbio	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02300_pacbio.cram
HG02392	illumina	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02392_illumina.cram
HG02392	ont	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02392_ont.cram
HG02392	pacbio	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02392_pacbio.cram
HG02583	illumina	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02583_illumina.cram
HG02583	ont	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02583_ont.cram
HG02583	pacbio	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02583_pacbio.cram
HG02602	illumina	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02602_illumina.cram
HG02602	ont	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02602_ont.cram
HG02602	pacbio	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02602_pacbio.cram
HG02615	illumina	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02615_illumina.cram
HG02615	ont	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02615_ont.cram
HG02615	pacbio	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02615_pacbio.cram
HG02647	illumina	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02647_illumina.cram
HG02647	ont	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02647_ont.cram
HG02647	pacbio	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02647_pacbio.cram
HG02698	illumina	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02698_illumina.cram
HG02698	ont	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02698_ont.cram
HG02698	pacbio	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02698_pacbio.cram
HG02738	illumina	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02738_illumina.cram
HG02738	ont	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02738_ont.cram
HG02738	pacbio	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02738_pacbio.cram
HG02809	illumina	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02809_illumina.cram
HG02809	ont	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02809_ont.cram
HG02809	pacbio	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG02809_pacbio.cram
HG03270	illumina	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG03270_illumina.cram
HG03270	ont	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG03270_ont.cram
HG03270	pacbio	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG03270_pacbio.cram
HG03369	illumina	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG03369_illumina.cram
HG03369	ont	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG03369_ont.cram
HG03369	pacbio	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG03369_pacbio.cram
HG03521	illumina	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG03521_illumina.cram
HG03521	ont	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG03521_ont.cram
HG03521	pacbio	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG03521_pacbio.cram
HG03583	illumina	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG03583_illumina.cram
HG03583	ont	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG03583_ont.cram
HG03583	pacbio	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG03583_pacbio.cram
HG03669	illumina	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG03669_illumina.cram
HG03669	ont	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG03669_ont.cram
HG03669	pacbio	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG03669_pacbio.cram
HG03710	illumina	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG03710_illumina.cram
HG03710	ont	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG03710_ont.cram
HG03710	pacbio	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG03710_pacbio.cram
HG03804	illumina	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG03804_illumina.cram
HG03804	ont	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG03804_ont.cram
HG03804	pacbio	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG03804_pacbio.cram
HG03816	illumina	/vast/projects/bahlo_longstr/nf-str-output/alignments/HG03816_illumina.cram
